# slug|comma-separated-domains
youtube|youtube.com,youtubei.googleapis.com,youtu.be,ytimg.com,ggpht.com,googlevideo.com,youtube-nocookie.com
tiktok|tiktok.com,tiktokv.com,tiktokcdn.com,byteoversea.com,ibytedtos.com,ipstatp.com,muscdn.com,musical.ly
netflix|netflix.com,netflix.net,nflxext.com,nflximg.net,nflxvideo.net,nflxso.net,netflixdnstest0.com
disney-plus|disney.com,disneyplus.com,disney-portal.com,disneymusic.co,disneystreaming.com,dssott.com,bamgrid.com,dss-tracker.com
spotify|spotify.com,scdn.co
max|max.com,hbomax.com,hbo.com
openai|openai.com,chatgpt.com,sora.com,oaistatic.com,oaiusercontent.com
gemini|ai.google.dev,alkalimakersuite-pa.clients6.google.com,makersuite.google.com,bard.google.com,deepmind.com,deepmind.google,gemini.google.com,generativeai.google,proactivebackend-pa.googleapis.com,apis.google.com,colab.google,generativelanguage.googleapis.com
claude|anthropic.com,claude.ai
copilot|copilot.microsoft.com,sydney.bing.com
